ID, Name, Type
1, TestShip1, TugBoat
2, TestShip2, GasCarrier
3, TestShip3, GasCarrier
4, TestShip4, Cargo
5, TestShip5, Container
6, TestShip6, Cargo
7, TestShip7, Container
8, TestShip8, Container
9, TestShip9, GasCarrier
10, TestShip10, Cargo
11, TestShip11, GasCarrier
12, TestShip12, Cargo
13, TestShip13, TugBoat
14, TestShip14, GasCarrier
15, TestShip15, Container
16, TestShip16, Cargo
17, TestShip17, GasCarrier
18, TestShip18, TugBoat
19, TestShip19, Container
20, TestShip20, TugBoat
21, TestShip21, Container
22, TestShip22, TugBoat
23, TestShip23, Cargo
24, TestShip24, GasCarrier
25, TestShip25, GasCarrier
26, TestShip26, GasCarrier
27, TestShip27, Container
28, TestShip28, GasCarrier
29, TestShip29, Container
30, TestShip30, Cargo
31, TestShip31, TugBoat
32, TestShip32, Container
33, TestShip33, Cargo
34, TestShip34, Cargo
35, TestShip35, Cargo
36, TestShip36, TugBoat
37, TestShip37, Cargo
38, TestShip38, TugBoat
39, TestShip39, Container
40, TestShip40, Cargo
41, TestShip41, TugBoat
42, TestShip42, Cargo
43, TestShip43, Cargo
44, TestShip44, TugBoat
45, TestShip45, GasCarrier
46, TestShip46, GasCarrier
47, TestShip47, Container
48, TestShip48, GasCarrier
49, TestShip49, Container
50, TestShip50, Container
51, TestShip51, Cargo
52, TestShip52, GasCarrier
53, TestShip53, Container
54, TestShip54, GasCarrier
55, TestShip55, TugBoat
56, TestShip56, Cargo
57, TestShip57, GasCarrier
58, TestShip58, Container
59, TestShip59, Container
60, TestShip60, Cargo
61, TestShip61, Container
62, TestShip62, TugBoat
63, TestShip63, GasCarrier
64, TestShip64, TugBoat
65, TestShip65, Container
66, TestShip66, Container
67, TestShip67, TugBoat
68, TestShip68, TugBoat
69, TestShip69, TugBoat
70, TestShip70, Container
71, TestShip71, Container
72, TestShip72, Cargo
73, TestShip73, TugBoat
74, TestShip74, GasCarrier
75, TestShip75, TugBoat
76, TestShip76, TugBoat
77, TestShip77, GasCarrier
78, TestShip78, Cargo
79, TestShip79, GasCarrier
80, TestShip80, TugBoat
81, TestShip81, Container
82, TestShip82, Cargo
83, TestShip83, Cargo
