ID, X Coordinate, Z Coordinate, Speed
1, 1384.52, 25542.64, 6
1, 1328.869, 25680.64, 9
1, 1197.962, 25734.69, 9
1, 1536.048, 26007.48, 7
1, 1638.78, 26146.84, 7
1, 2016.111, 26138.28, 8
1, 1756.076, 25778.12, 6
1, 1464.851, 25860.08, 9
1, 1210.596, 25944.15, 7
1, 827.2289, 25699, 9
2, -20043.42, -9815.879, 6
2, -20261.84, -9466.026, 8
2, -20059.67, -9677.198, 6
2, -19806.32, -9863.982, 7
2, -19959.57, -9665.947, 7
2, -19944.94, -9723.549, 9
2, -20128.09, -9499.581, 8
2, -19946.42, -9282.078, 6
2, -19739.26, -9355.578, 8
2, -19596.89, -9548.281, 8
3, 12338.21, -20625.7, 6
3, 12261.02, -20240.43, 7
3, 12599.42, -20062.39, 7
3, 12246.64, -19916.18, 8
3, 12645.21, -20220.03, 9
3, 12586.32, -20539.88, 9
3, 12881.48, -20885.06, 6
3, 12956.13, -21038.1, 10
3, 13330.76, -21258.96, 9
3, 13066.35, -21123.88, 6
4, 17785.4, -21671.64, 6
4, 17802.17, -21622.61, 8
4, 18111.99, -21743.24, 8
4, 17870.59, -21474.94, 9
4, 18096.99, -21270.62, 6
4, 18403.91, -21431.11, 9
4, 18734.01, -21486.03, 7
4, 18338.47, -21714.57, 9
4, 18606.69, -21936.33, 10
4, 18799.2, -21746.72, 9
5, -3452.901, -6490.79, 8
5, -3582.589, -6125.644, 6
5, -3440.332, -6174.329, 10
5, -3544.094, -5804.053, 8
5, -3426.267, -5583.385, 9
5, -3100.017, -5745.087, 6
5, -3336.503, -6126.106, 9
5, -3656.3, -5729.88, 6
5, -3327.859, -6062.729, 8
5, -3609.4, -6070.141, 9
6, -29883.9, -16616.71, 9
6, -29586.04, -16485.68, 7
6, -29490.03, -16873.83, 7
6, -29676.21, -17247.44, 8
6, -29952.93, -17564.61, 9
6, -29787.2, -17933.35, 9
6, -29822.07, -18266.05, 8
6, -29576.45, -18620.11, 9
6, -29225.11, -18493.82, 7
6, -29151.81, -18288, 8
7, 3946.597, -2436.665, 9
7, 3613.806, -2535.473, 6
7, 3686.804, -2836.413, 10
7, 4031.139, -2801.657, 10
7, 4413.692, -2582.262, 7
7, 4551, -2290.919, 8
7, 4377.677, -2392.24, 9
7, 4385.555, -2186.791, 8
7, 4098.765, -2128.786, 8
7, 3828.684, -2352.859, 9
8, -22996.55, 20387.79, 6
8, -23319.46, 20707.08, 8
8, -23624.03, 20628.79, 7
8, -23578.08, 20301.47, 6
8, -23460.35, 20515.51, 9
8, -23748.56, 20217.21, 7
8, -23985.73, 19818.02, 6
8, -23856.99, 19688.77, 6
8, -23499.22, 19433.74, 7
8, -23139.48, 19704.65, 10
9, 16740.78, 10828.58, 9
9, 16407.21, 10840.04, 9
9, 16424.97, 11004.54, 9
9, 16701.54, 11219.91, 10
9, 16677.65, 11440.47, 10
9, 16738.66, 11296.55, 6
9, 16348.09, 11478.21, 9
9, 16326.6, 11234.78, 8
9, 16587.84, 11470.94, 9
9, 16758.14, 11487.86, 7
10, -21916.59, -12365.83, 6
10, -21749.22, -12578.4, 10
10, -21636.06, -12741.45, 7
10, -21684.67, -12691.5, 10
10, -21430.9, -12470.17, 9
10, -21087.79, -12663.49, 9
10, -20922.16, -12882.25, 7
10, -20849.32, -12735.61, 8
10, -21142.47, -12821.72, 8
10, -20850.02, -13194.07, 8
11, -31246.55, -28194.21, 10
11, -30912.22, -28211.03, 7
11, -31197.34, -27950.42, 8
11, -30962.76, -28303.38, 7
11, -30572.69, -28398.39, 10
11, -30577.73, -28157.32, 9
11, -30223.5, -28099.61, 9
11, -29841.86, -28338.83, 9
11, -29642.93, -27939.19, 7
11, -29450.28, -28183.37, 6
12, -703.8682, -25900.61, 8
12, -380.3768, -25552.53, 9
12, -771.6896, -25202.53, 7
12, -823.0797, -25595.2, 8
12, -826.7885, -25672.01, 7
12, -673.6656, -25766.63, 8
12, -764.7256, -25839.02, 7
12, -555.694, -26203.48, 7
12, -166.386, -26443.13, 9
12, 213.32, -26141.16, 10
13, 25048.79, -7577.013, 6
13, 25388.55, -7680.565, 9
13, 25282.1, -7771.637, 9
13, 25271.57, -7491.402, 8
13, 25592.39, -7575.637, 7
13, 25235.87, -7442.289, 9
13, 25632.55, -7271.001, 7
13, 25563.75, -6924.022, 8
13, 25958.81, -6707.951, 9
13, 26212.46, -7097.277, 8
14, -6130.599, -6227.833, 7
14, -5980.098, -6175.941, 8
14, -6224.906, -6130.546, 7
14, -6207.046, -6159.124, 8
14, -6226.293, -6495.131, 10
