ID, X Coordinate, Z Coordinate, Speed
1, -6120.625, -2654.153, 15
1, -6294.951, -1127.589, 19
1, -6247.887, -801.1907, 13
1, -5323.194, -2027.429, 15
2, -3110.689, 8316.789, 16
2, -1898.58, 8516.845, 12
2, -367.4729, 6949.938, 19
2, 227.5974, 7240.303, 14
3, -2607.323, 1172.012, 16
3, -3888.565, 1222.409, 16
3, -2719.201, 1489.277, 18
3, -4308.62, 103.9253, 18
4, -7719.66, 7402.141, 18
4, -7891.855, 8399.748, 11
4, -6360.709, 9367.336, 12
4, -5300.539, 8856.717, 17
5, -8181.803, 8042.453, 12
5, -9638.006, 8626.564, 18
5, -10501.79, 7577.239, 12
5, -9409.944, 6890.107, 12
6, 1444.441, -6058.814, 15
6, 558.7299, -7156.998, 12
6, 1173.741, -8182.901, 11
6, 891.1278, -8590.492, 17
7, 1100.668, 517.4531, 13
7, -436.4819, -167.5151, 11
7, -540.9866, 534.3396, 16
7, 129.6492, 1904.307, 16
8, -5815.144, 3600.263, 11
8, -5624.118, 4990.533, 13
8, -5343.263, 5039.678, 19
8, -5830.911, 3440.999, 15
9, 5261.893, -6496.43, 12
9, 5967.062, -5068.437, 17
9, 5655.955, -5808.075, 19
9, 6269.059, -4953.289, 13
10, -8114.085, 9012.398, 13
10, -7602.105, 9678.863, 13
10, -8899.104, 9507.889, 11
10, -8226.87, 9066.12, 17
11, 2837.074, -858.7305, 14
11, 1912.254, -1857.565, 16
11, 3174.509, -3297.518, 16
11, 2796.594, -3009.043, 16
12, -1560.777, 5396.859, 15
12, -88.46753, 5619.252, 11
12, 640.9094, 6289.155, 14
12, 1760.083, 6885.775, 16
13, 5283.799, -8838.443, 17
13, 4838.68, -7656.041, 18
13, 3964.669, -6433.797, 11
13, 3202.823, -7766.178, 18
14, -5270.407, -1190.575, 15
14, -6742.411, -2197.82, 17
14, -7549.517, -3540.853, 17
14, -8130.022, -4030.568, 14
15, -3589.231, -6631.852, 17
15, -3268.103, -7616.643, 18
15, -2961.528, -6878.804, 12
15, -3957.957, -5964.075, 17
16, 8591.426, 890.001, 19
16, 7298.089, 918.0439, 14
16, 6954.653, 1035.285, 11
16, 6285.449, 1321.693, 11
17, 9278.422, 9209.539, 16
17, 10322.68, 9154.517, 16
17, 9857.677, 8421.252, 18
17, 9737.197, 8319.509, 16
18, -3655.17, 4562.115, 19
18, -4181.332, 3102.783, 14
18, -3733.048, 2503.84, 15
18, -3645.197, 1019.444, 13
19, -1608.327, 9108.371, 19
19, -2959.399, 8515.791, 13
19, -1694.24, 9707.543, 14
19, -673.2532, 8375.614, 12
20, 4688.513, -6290.386, 12
20, 3203.964, -5919.514, 12
20, 1762.466, -6033.347, 17
20, 227.2249, -5309.596, 11
21, -1031.576, 759.2666, 15
21, -2596.546, -478.9536, 16
21, -2686.578, -164.4414, 11
21, -2268.431, -156.5909, 16
22, 6443.088, -822.3281, 11
22, 6529.014, -986.4081, 12
22, 7837.696, 418.8715, 16
22, 9075.071, 1030.969, 16
23, -170.168, 3695.447, 17
23, 531.9253, 4522.547, 16
23, 278.8115, 5445.89, 17
23, -511.0374, 4801.829, 13
24, 2674.177, 6600.73, 13
24, 3630.194, 6868.689, 16
24, 4219.664, 6816.839, 11
24, 4560.906, 6680.338, 13
25, -1655.572, 909.0479, 18
25, -2425.503, 1784.925, 15
25, -1056.353, 721.4272, 16
25, -2552.569, -463.8496, 15
26, -5351.129, -810.9512, 18
26, -4349.226, -95.80518, 18
26, -3944.751, 1287.051, 12
26, -3575.088, 2692.191, 15
27, -1628.76, -7673.621, 14
27, -2277.22, -7503.623, 14
27, -3280.075, -7416.976, 16
27, -4256.484, -7102.072, 14
28, 4907.446, 7463.436, 13
28, 3917.262, 6545.972, 14
28, 3087.972, 7907.932, 13
28, 3632.303, 6773.435, 17
29, 6066.558, 3344.02, 12
29, 7280.97, 2986.437, 15
29, 7881.978, 1657.912, 17
29, 7958.994, 2561.247, 14
30, 5070.009, -85.7793, 11
30, 4420.413, 797.9308, 11
30, 5653.387, 1530.687, 17
30, 5452.412, 311.6416, 15
31, 2348.367, -1457.959, 14
31, 1927.909, -311.4022, 12
31, 1408.407, 237.9031, 19
31, 245.9825, 1304.367, 13
32, 152.625, 5659.251, 19
32, 635.5549, 6987.014, 17
32, 2168.289, 7958.475, 15
32, 3741.196, 9494.055, 12
33, -2408.091, -1140.867, 13
33, -1468.982, -220.454, 11
33, -253.8822, -1134.842, 14
33, 541.264, -2224.001, 13
34, -1234.702, -1653.415, 14
34, -1137.172, -645.9675, 13
34, -2238.405, -177.1854, 16
34, -1309.002, 223.8167, 12
