ID, X Coordinate, Z Coordinate, Speed
1, -4998.995, -944.5723, 19
1, -5224.002, -1174.653, 19
1, -4980.829, -984.1047, 17
1, -5069.542, -1319.362, 19
2, -4257.992, -5738.57, 12
2, -4560.496, -5468.429, 15
2, -4253.5, -5342.898, 15
2, -4470.474, -5545.656, 18
3, -4565.586, -4952.175, 14
3, -4393.563, -4613.465, 17
3, -4191.157, -4623.758, 16
3, -4313.938, -4842.911, 14
4, 7066.654, 6667.066, 19
4, 7058.934, 6395.589, 14
4, 7030.793, 6076.362, 14
4, 6803.333, 6210.21, 12
5, -8102.313, -8732.486, 16
5, -7762.063, -8955.019, 18
5, -8067.875, -9125.059, 13
5, -8291.997, -8905.941, 13
6, -5746.827, 1451.291, 13
6, -5706.751, 1324.394, 19
6, -5436.888, 1580.73, 18
6, -5110.333, 1475.174, 15
7, 3227.796, -9577.443, 18
7, 3431.019, -9795.926, 12
7, 3233.842, -9642.059, 17
7, 3020.568, -9392.476, 17
8, -4664.058, 6305.992, 17
8, -4477.442, 6444.846, 18
8, -4235.405, 6793.926, 18
8, -4042.434, 6445.678, 18
9, 6320.526, 1389.156, 14
9, 6449.74, 1747.919, 15
9, 6803.023, 1984.114, 13
9, 6913.51, 2350.814, 17
10, -6976.981, 7858.133, 14
10, -7031.838, 7842.232, 19
10, -7175.123, 8103.984, 13
10, -7413.943, 8116.943, 13
11, -8861.271, 2206.789, 18
11, -9040.595, 1886.015, 14
11, -8800.223, 1850.657, 18
11, -8494.615, 1830.537, 19
12, 3419.153, -5317.611, 17
12, 3258.881, -4995.389, 16
12, 3070.424, -5068.39, 17
12, 3381.765, -4825.104, 17
13, 3007.159, -7079.707, 13
13, 3113.466, -7444.308, 11
13, 3294.868, -7607.047, 11
13, 3392.92, -7270.217, 11
14, 288.7266, 7821.092, 11
14, 451.976, 7710.928, 11
14, 183.3641, 7729.823, 19
14, 36.77676, 7555.709, 18
15, 2906.394, -3819.937, 19
15, 2948.15, -4182.272, 19
15, 2776.945, -4481.615, 14
15, 2435.937, -4339.835, 12
16, -5081.572, 2825.382, 18
16, -5425.381, 2579.937, 14
16, -5289.126, 2937.43, 18
16, -5128.888, 2714.744, 15
17, -8939.91, 9636.844, 18
17, -8629.807, 9368.602, 18
17, -8881.773, 9259.085, 17
17, -8747.832, 8959.816, 16
18, 2433.552, -9877.332, 18
18, 2273.075, -9672.296, 19
18, 2614.612, -9781.518, 17
18, 2271.362, -9743.657, 18
19, -5469.494, -4437.698, 17
19, -5416.591, -4493.111, 18
19, -5751.332, -4799.135, 19
19, -5681.347, -4981.279, 15
20, 6177.842, -4894.982, 19
20, 6417.126, -4904.178, 15
20, 6357.426, -5155.274, 17
20, 6541.218, -5445.302, 12
21, 9666.781, -5582.53, 12
21, 9805.554, -5708.995, 13
21, 9641.094, -5729.061, 14
21, 10010.52, -5386.164, 16
22, 2144.851, -8611.393, 15
22, 1887.526, -8727.48, 11
22, 1635.244, -8909.538, 16
22, 1609.235, -8867.479, 19
23, 2497.643, -2674.641, 17
23, 2876.625, -3033.939, 12
23, 2677.218, -3030.335, 11
23, 2540.134, -2704.1, 14
24, -5646.134, 1259.154, 11
24, -5277.808, 1256.581, 16
24, -5334.74, 1285.286, 12
24, -5042.875, 1365.172, 16
25, 8212.229, 4384.429, 16
25, 8481.774, 4758.583, 19
25, 8698.896, 4425.785, 13
25, 8326.545, 4582.77, 19
26, 1027.793, 9397.115, 18
26, 941.7108, 9600.029, 13
26, 1127.301, 9958.938, 15
26, 931.7667, 9686.99, 11
27, -6960.922, 755.8809, 16
27, -6870.563, 644.2208, 14
27, -7168.795, 788.7507, 19
27, -7391.112, 677.1752, 13
28, 6808.793, 614.2148, 13
28, 6892.104, 640.5156, 17
28, 7048.771, 387.9731, 13
28, 6772.594, 747.0881, 18
29, -450.4219, -2435.866, 13
29, -240.4849, -2480.304, 12
29, -131.2207, -2102.96, 17
29, 41.47791, -2268.176, 16
30, 9663.846, -700.6963, 13
30, 9371.004, -557.4003, 16
30, 9230.823, -286.6221, 18
30, 9372.172, -215.095, 15
31, 2958.336, -2118.062, 14
31, 2819.91, -2458.813, 18
31, 2697.937, -2522.336, 15
31, 2892.857, -2752.258, 18
32, -2306.556, 1803.602, 12
32, -1976.17, 1758.471, 11
32, -2079.138, 1400.745, 14
32, -2031.322, 1415.302, 11
33, -4247.748, -7256.205, 19
33, -4561.118, -6931.872, 19
33, -4733.149, -6742.893, 18
33, -4806.92, -6741.237, 13
34, 8619.785, -1168.981, 13
34, 8372.288, -1484.622, 15
34, 8034.203, -1705.183, 19
34, 7855.82, -1549.874, 16
35, -3116.614, 7718.391, 15
35, -3424.796, 7516.938, 18
35, -3603.318, 7869.69, 19
