ID, X Coordinate, Z Coordinate, Speed
1, -8314.201, -7397.418, 16
1, -8536.75, -7162.06, 13
1, -7811.347, -6982.127, 19
1, -8119.719, -6464.281, 18
1, -8766.129, -6952.084, 18
2, -8903.975, -9315.662, 20
2, -8288.433, -10126.41, 12
2, -7585.392, -9781.737, 16
2, -8422.397, -9134.841, 13
2, -8056.121, -9938.254, 18
3, 2581.866, -593.418, 14
3, 3193.651, -946.0463, 15
3, 3857.678, -549.7438, 19
3, 3083.881, -1489.407, 20
3, 2839.35, -2058.452, 13
4, -4430.753, -4591.719, 16
4, -4858.622, -3673.506, 14
4, -4648.692, -3738.688, 16
4, -4040.724, -3341.297, 15
4, -3066.224, -2981.178, 12
5, 5178.315, 4292.147, 16
5, 4426.989, 4739.247, 15
5, 4789.297, 5289.087, 16
5, 4759.581, 5914.998, 15
5, 4016.966, 5218.603, 11
6, 6931.009, -5840.216, 17
6, 7071.483, -5647.185, 16
6, 6445.824, -6170.538, 16
6, 6181.034, -6072.194, 12
6, 5672.322, -5934.796, 16
7, -8077.453, -5397.997, 20
7, -8611.209, -5928.009, 11
7, -8071.689, -6475.622, 11
7, -7583.757, -6169.245, 18
7, -7690.072, -5383.251, 18
8, 9774.393, 2502.672, 14
8, 9391.582, 3262.583, 12
8, 9823.572, 3718.497, 17
8, 9358.611, 3541.589, 13
8, 9355.366, 3511.388, 16
9, -2552.253, 5369.847, 19
9, -2035.116, 5423.553, 12
9, -2101.301, 5584.686, 16
9, -1601.294, 5499.844, 17
9, -1507.622, 4741.029, 20
10, -7288.939, 9708.811, 15
10, -7733.391, 10174.77, 18
10, -6840.061, 10294, 12
10, -6435.234, 10432.49, 12
10, -7407.616, 10436.64, 14
