ID, Name, Type
1, TestShip1, Cargo
2, TestShip2, FishingBoat
3, TestShip3, Cargo
4, TestShip4, FishingBoat
5, TestShip5, FishingBoat
6, TestShip6, Tanker
7, TestShip7, FishingBoat
8, TestShip8, Cargo
9, TestShip9, Tanker
10, TestShip10, Tanker
11, TestShip11, Tanker
12, TestShip12, Tanker
13, TestShip13, FishingBoat
14, TestShip14, FishingBoat
15, TestShip15, FishingBoat
16, TestShip16, FishingBoat
17, TestShip17, Tanker
18, TestShip18, FishingBoat
19, TestShip19, Tanker
20, TestShip20, FishingBoat
21, TestShip21, Cargo
22, TestShip22, Cargo
23, TestShip23, Cargo
24, TestShip24, Cargo
25, TestShip25, Cargo
26, TestShip26, Tanker
27, TestShip27, FishingBoat
28, TestShip28, Cargo
29, TestShip29, Cargo
30, TestShip30, Cargo
